date,open,close,high,low,volume
1981.5.1,123.6,123.6,123.6,123.6,3330000
1981.5.2,123.5,123.5,123.5,123.5,2040000
1981.5.4,120.6,120.6,120.6,120.6,1930000
1981.5.6,120.7,120.7,120.7,120.7,1690000
1981.5.7,119.3,119.3,119.3,119.3,1480000
1981.5.8,118.7,118.7,118.7,118.7,1090000
1981.5.9,118.8,118.8,118.8,118.8,598000
1981.5.12,118.8,118.8,118.8,118.8,543000
1981.5.13,119.9,119.9,119.9,119.9,858000
1981.5.14,121.5,121.5,121.5,121.5,1180000
1981.5.15,121.4,121.4,121.4,121.4,1550000
1981.5.16,121.5,121.5,121.5,121.5,570000
1981.5.18,121.1,121.1,121.1,121.1,906000
1981.5.19,120.9,120.9,120.9,120.9,952000
1981.5.20,121.4,121.4,121.4,121.4,1410000
1981.5.21,121.4,121.4,121.4,121.4,1220000
1981.5.22,120.8,120.8,120.8,120.8,981000
1981.5.23,120.5,120.5,120.5,120.5,829000
1981.5.25,121.5,121.5,121.5,121.5,1100000
1981.5.26,123,123,123,123,1770000
1981.5.27,124.8,124.8,124.8,124.8,2250000
1981.5.28,125.9,125.9,125.9,125.9,2570000
1981.5.29,126.5,126.5,126.5,126.5,2610000
1981.5.30,126.3,126.3,126.3,126.3,1290000
1981.6.1,126.4,126.4,126.4,126.4,1830000
1981.6.2,127.7,127.7,127.7,127.7,3100000
1981.6.3,129.8,129.8,129.8,129.8,3130000
1981.6.4,128.7,128.7,128.7,128.7,2620000
1981.6.5,128.3,128.3,128.3,128.3,1810000
1981.6.8,130.1,130.1,130.1,130.1,1550000
1981.6.9,132.7,132.7,132.7,132.7,3000000
1981.6.10,133.6,133.6,133.6,133.6,3210000
1981.6.11,134.7,134.7,134.7,134.7,3650000
1981.6.12,136.3,136.3,136.3,136.3,4160000
1981.6.13,137.6,137.6,137.6,137.6,1840000
1981.6.15,139.5,139.5,139.5,139.5,2990000
1981.6.16,142.8,142.8,142.8,142.8,3880000
1981.6.17,139.5,139.5,139.5,139.5,2350000
1981.6.18,134.8,134.8,134.8,134.8,1170000
1981.6.19,138.6,138.6,138.6,138.6,1530000
1981.6.20,139.8,139.8,139.8,139.8,1560000
1981.6.22,138.8,138.8,138.8,138.8,1380000
1981.6.23,139.2,139.2,139.2,139.2,1390000
1981.6.24,141.6,141.6,141.6,141.6,1410000
1981.6.25,141.8,141.8,141.8,141.8,2320000
1981.6.26,142.7,142.7,142.7,142.7,2420000
1981.6.27,144.5,144.5,144.5,144.5,1500000
1981.6.29,147.3,147.3,147.3,147.3,2020000
1981.6.30,150.8,150.8,150.8,150.8,2050000
1981.7.1,156.4,156.4,156.4,156.4,3010000
1981.7.2,155,155,155,155,2580000
1981.7.3,155.7,155.7,155.7,155.7,2230000
1981.7.4,157.8,157.8,157.8,157.8,1860000
1981.7.6,160.9,160.9,160.9,160.9,2620000
1981.7.7,165.9,165.9,165.9,165.9,2760000
1981.7.8,163.1,163.1,163.1,163.1,2870000
1981.7.9,163.8,163.8,163.8,163.8,2260000
1981.7.10,159.9,159.9,159.9,159.9,1730000
1981.7.11,160.3,160.3,160.3,160.3,1270000
1981.7.13,158.3,158.3,158.3,158.3,1870000
1981.7.14,155.8,155.8,155.8,155.8,1340000
1981.7.15,155,155,155,155,1540000
1981.7.16,155.9,155.9,155.9,155.9,1510000
1981.7.18,158.7,158.7,158.7,158.7,1050000
1981.7.20,155.2,155.2,155.2,155.2,878000
1981.7.21,155.5,155.5,155.5,155.5,1040000
1981.7.22,153.1,153.1,153.1,153.1,959000
1981.7.23,150,150,150,150,816000
1981.7.24,147.8,147.8,147.8,147.8,1030000
1981.7.25,149.4,149.4,149.4,149.4,485000
1981.7.27,146.9,146.9,146.9,146.9,544000
1981.7.28,144.4,144.4,144.4,144.4,820000
1981.7.29,145.5,145.5,145.5,145.5,1220000
1981.7.30,147.5,147.5,147.5,147.5,1450000
1981.7.31,148.1,148.1,148.1,148.1,1310000
1981.8.1,148.3,148.3,148.3,148.3,599000
1981.8.3,151,151,151,151,1490000
1981.8.4,151.3,151.3,151.3,151.3,1370000
1981.8.5,149.4,149.4,149.4,149.4,800000
1981.8.6,151.6,151.6,151.6,151.6,1670000
1981.8.7,151.9,151.9,151.9,151.9,966000
1981.8.8,151.2,151.2,151.2,151.2,653000
1981.8.10,148.9,148.9,148.9,148.9,642000
1981.8.11,148.4,148.4,148.4,148.4,664000
1981.8.12,147.5,147.5,147.5,147.5,1270000
1981.8.13,144.6,144.6,144.6,144.6,1070000
1981.8.14,142.4,142.4,142.4,142.4,751000
1981.8.17,144.6,144.6,144.6,144.6,995000
1981.8.18,141.9,141.9,141.9,141.9,779000
1981.8.19,141,141,141,141,708000
1981.8.20,142.5,142.5,142.5,142.5,646000
1981.8.21,145,145,145,145,969000
1981.8.22,144.1,144.1,144.1,144.1,575000
1981.8.24,143.5,143.5,143.5,143.5,651000
1981.8.25,140.8,140.8,140.8,140.8,533000
1981.8.26,140.5,140.5,140.5,140.5,863000
1981.8.27,140.3,140.3,140.3,140.3,792000
1981.8.28,141.9,141.9,141.9,141.9,667000
1981.8.29,141.5,141.5,141.5,141.5,230000
1981.8.31,140.1,140.1,140.1,140.1,273000
1981.9.1,140.4,140.4,140.4,140.4,308000
1981.9.2,140.2,140.2,140.2,140.2,348000
1981.9.3,141.9,141.9,141.9,141.9,422000
1981.9.4,143.7,143.7,143.7,143.7,833000
1981.9.5,144.5,144.5,144.5,144.5,460000
1981.9.7,145.1,145.1,145.1,145.1,921000
1981.9.8,144.1,144.1,144.1,144.1,1220000
1981.9.9,146.2,146.2,146.2,146.2,965000
1981.9.10,145,145,145,145,1200000
1981.9.11,145.6,145.6,145.6,145.6,1030000
1981.9.14,145.1,145.1,145.1,145.1,883000
1981.9.15,144.7,144.7,144.7,144.7,1130000
1981.9.16,142.9,142.9,142.9,142.9,720000
1981.9.17,140.7,140.7,140.7,140.7,689000
1981.9.18,143,143,143,143,858000
1981.9.19,143.4,143.4,143.4,143.4,557000
1981.9.21,142,142,142,142,863000
1981.9.22,141.1,141.1,141.1,141.1,463000
1981.9.23,139.4,139.4,139.4,139.4,873000
1981.9.24,138,138,138,138,705000
1981.9.25,137.8,137.8,137.8,137.8,1240000
1981.9.26,138.9,138.9,138.9,138.9,448000
1981.9.28,137.1,137.1,137.1,137.1,528000
1981.9.29,135.1,135.1,135.1,135.1,749000
1981.9.30,132.3,132.3,132.3,132.3,904000
1981.10.2,136.3,136.3,136.3,136.3,507000
1981.10.5,140.7,140.7,140.7,140.7,806000
1981.10.6,142.6,142.6,142.6,142.6,928000
1981.10.7,142.5,142.5,142.5,142.5,1250000
1981.10.8,138.8,138.8,138.8,138.8,889000
1981.10.10,138.7,138.7,138.7,138.7,384000
1981.10.12,135.9,135.9,135.9,135.9,830000
1981.10.13,134.2,134.2,134.2,134.2,452000
1981.10.14,136,136,136,136,503000
1981.10.15,133.3,133.3,133.3,133.3,325000
1981.10.16,132,132,132,132,472000
1981.10.17,131.8,131.8,131.8,131.8,271000
1981.10.19,131.2,131.2,131.2,131.2,398000
1981.10.20,131.6,131.6,131.6,131.6,541000
1981.10.21,129.9,129.9,129.9,129.9,453000
1981.10.22,130.2,130.2,130.2,130.2,433000
1981.10.23,128.9,128.9,128.9,128.9,458000
1981.10.24,129.1,129.1,129.1,129.1,287000
1981.10.26,126.3,126.3,126.3,126.3,503000
1981.10.27,125.4,125.4,125.4,125.4,518000
1981.10.28,125.9,125.9,125.9,125.9,654000
1981.10.29,123.8,123.8,123.8,123.8,607000
1981.10.30,121.3,121.3,121.3,121.3,854000
1981.10.31,123,123,123,123,274000
1981.11.2,123.8,123.8,123.8,123.8,494000
1981.11.3,127.9,127.9,127.9,127.9,658000
1981.11.4,128.9,128.9,128.9,128.9,1050000
1981.11.5,127.2,127.2,127.2,127.2,855000
1981.11.6,124.9,124.9,124.9,124.9,588000
1981.11.7,124.6,124.6,124.6,124.6,394000
1981.11.9,122.5,122.5,122.5,122.5,562000
1981.11.10,122,122,122,122,447000
1981.11.11,121.5,121.5,121.5,121.5,433000
1981.11.12,122.4,122.4,122.4,122.4,593000
1981.11.13,125.1,125.1,125.1,125.1,619000
1981.11.14,124.8,124.8,124.8,124.8,300000
1981.11.16,126.9,126.9,126.9,126.9,677000
1981.11.17,126.3,126.3,126.3,126.3,770000
1981.11.18,127.3,127.3,127.3,127.3,808000
1981.11.19,128.1,128.1,128.1,128.1,1200000
1981.11.20,131.6,131.6,131.6,131.6,1540000
1981.11.21,133.8,133.8,133.8,133.8,984000
1981.11.23,137.1,137.1,137.1,137.1,1770000
1981.11.24,134.4,134.4,134.4,134.4,1460000
1981.11.25,132.5,132.5,132.5,132.5,1170000
1981.11.26,130.9,130.9,130.9,130.9,1010000
1981.11.27,131.7,131.7,131.7,131.7,900000
1981.11.28,132.2,132.2,132.2,132.2,657000
1981.11.30,132.4,132.4,132.4,132.4,737000
1981.12.1,131.4,131.4,131.4,131.4,695000
1981.12.2,130.2,130.2,130.2,130.2,587000
1981.12.3,130.9,130.9,130.9,130.9,738000
1981.12.4,130.7,130.7,130.7,130.7,664000
1981.12.5,130.1,130.1,130.1,130.1,387000
1981.12.7,129.6,129.6,129.6,129.6,528000
1981.12.8,129.6,129.6,129.6,129.6,619000
1981.12.9,130,130,130,130,599000
1981.12.10,128.4,128.4,128.4,128.4,772000
1981.12.11,128.7,128.7,128.7,128.7,566000
1981.12.12,129.2,129.2,129.2,129.2,394000
1981.12.14,128.8,128.8,128.8,128.8,568000
1981.12.15,129.4,129.4,129.4,129.4,898000
1981.12.16,130,130,130,130,1210000
1981.12.17,129.6,129.6,129.6,129.6,1600000
1981.12.18,129,129,129,129,1880000
1981.12.19,128.6,128.6,128.6,128.6,752000
1981.12.21,128.8,128.8,128.8,128.8,993000
1981.12.22,129.9,129.9,129.9,129.9,1150000
1981.12.23,131.3,131.3,131.3,131.3,1530000
1981.12.24,131.3,131.3,131.3,131.3,948000
1982.1.4,123.6,123.6,123.6,123.6,413000
1982.1.5,121.66,121.66,121.66,121.66,697000
1982.1.6,125.8,125.8,125.8,125.8,1180000
1982.1.7,126.66,126.66,126.66,126.66,1860000
1982.1.8,126.74,126.74,126.74,126.74,1410000
1982.1.9,129.22,129.22,129.22,129.22,1340000
1982.1.11,128.94,128.94,128.94,128.94,1720000
1982.1.12,126.39,126.39,126.39,126.39,1550000
1982.1.13,125.64,125.64,125.64,125.64,1540000
